realtime_start,value,date,realtime_end
12/6/2019,156309,1/1/1952,12/6/2019
12/6/2019,156527,2/1/1952,12/6/2019
12/6/2019,156731,3/1/1952,12/6/2019
12/6/2019,156943,4/1/1952,12/6/2019
12/6/2019,157140,5/1/1952,12/6/2019
12/6/2019,157343,6/1/1952,12/6/2019
12/6/2019,157553,7/1/1952,12/6/2019
12/6/2019,157798,8/1/1952,12/6/2019
12/6/2019,158053,9/1/1952,12/6/2019
12/6/2019,158306,10/1/1952,12/6/2019
12/6/2019,158451,11/1/1952,12/6/2019
12/6/2019,158757,12/1/1952,12/6/2019
12/6/2019,158973,1/1/1953,12/6/2019
12/6/2019,159170,2/1/1953,12/6/2019
12/6/2019,159349,3/1/1953,12/6/2019
12/6/2019,159556,4/1/1953,12/6/2019
12/6/2019,159745,5/1/1953,12/6/2019
12/6/2019,159956,6/1/1953,12/6/2019
12/6/2019,160184,7/1/1953,12/6/2019
12/6/2019,160449,8/1/1953,12/6/2019
12/6/2019,160718,9/1/1953,12/6/2019
12/6/2019,160978,10/1/1953,12/6/2019
12/6/2019,161223,11/1/1953,12/6/2019
12/6/2019,161453,12/1/1953,12/6/2019
12/6/2019,161690,1/1/1954,12/6/2019
12/6/2019,161912,2/1/1954,12/6/2019
12/6/2019,162124,3/1/1954,12/6/2019
12/6/2019,162350,4/1/1954,12/6/2019
12/6/2019,162564,5/1/1954,12/6/2019
12/6/2019,162790,6/1/1954,12/6/2019
12/6/2019,163026,7/1/1954,12/6/2019
12/6/2019,163290,8/1/1954,12/6/2019
12/6/2019,163570,9/1/1954,12/6/2019
12/6/2019,163847,10/1/1954,12/6/2019
12/6/2019,164107,11/1/1954,12/6/2019
12/6/2019,164349,12/1/1954,12/6/2019
12/6/2019,164588,1/1/1955,12/6/2019
12/6/2019,164809,2/1/1955,12/6/2019
12/6/2019,165018,3/1/1955,12/6/2019
12/6/2019,165251,4/1/1955,12/6/2019
12/6/2019,165463,5/1/1955,12/6/2019
12/6/2019,165695,6/1/1955,12/6/2019
12/6/2019,165931,7/1/1955,12/6/2019
12/6/2019,166192,8/1/1955,12/6/2019
12/6/2019,166473,9/1/1955,12/6/2019
12/6/2019,166755,10/1/1955,12/6/2019
12/6/2019,167023,11/1/1955,12/6/2019
12/6/2019,167270,12/1/1955,12/6/2019
12/6/2019,167513,1/1/1956,12/6/2019
12/6/2019,167746,2/1/1956,12/6/2019
12/6/2019,167977,3/1/1956,12/6/2019
12/6/2019,168221,4/1/1956,12/6/2019
12/6/2019,168436,5/1/1956,12/6/2019
12/6/2019,168659,6/1/1956,12/6/2019
12/6/2019,168903,7/1/1956,12/6/2019
12/6/2019,169191,8/1/1956,12/6/2019
